Путь,Формат,УЗ,Категории,Количество,Пример (Маскированный)
./dataset/share/lost+found/#349389,,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/lost+found/#469418,,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/lost+found/#591990,,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/lost+found/#607968,,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/lost+found/#685295,,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/lost+found/#872002,,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/lost+found/#942021,,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/lost+found/#958615,,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/a/zza00d00/50308888-8889.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/a/zza01f00/0011839665.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/a/zza04e00/2040765768.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/a/zza17e00/2031309105.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/a/zza20e00/04303523-a.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/a/zza23d00/513327776_513327782.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/a/zza27d00/2075165787.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/a/zza29e00/2501172233_2501172290.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/a/zza42d00/2050801870_1873.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/a/zza43e00/2042537535.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/a/zza44e00/2023086413.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/a/zza49e00/2501298013.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/a/zza50f00/0000269666.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/a/zza51c00/2085779941.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/a/zza54c00/80702501.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/a/zza57d00/2048755106.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/a/zza58c00/2083822795.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/a/zza61e00/00620531.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/a/zza65e00/2046440775.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/a/zza70e00/92023499_92023505.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/a/zza81c00/2501741170_1183.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/a/zza90d00/522746807+-6808.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/a/zza93c00/2057800212.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/a/zza94a00/2063196920.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/a/zza94d00/505945066_505945074.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/a/zza96e00/2057680263.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/a/zza99d00/500068563.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/b/zzb02a00/2023382980_2023382987.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/b/zzb02c00/2080731994.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/b/zzb03e00/2046468258.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/b/zzb06d00/50491022-1023.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/b/zzb09d00/50426112-6114.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/b/zzb10a00/10350601_10350605.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/b/zzb11d00/519689266+-9274.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/b/zzb14c00/2069729124.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/b/zzb24c00/2080143458.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/b/zzb26d00/50546182-6182.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/b/zzb27e00/2028703073.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/b/zzb32d00/2501929589.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/b/zzb38c00/508851993+-1993.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/b/zzb42e00/2062498262.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/b/zzb51a00/0071067500.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/b/zzb55c00/2076071228b.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/b/zzb56d00/CTRSP-FILES027573-75.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/b/zzb61d00/518079699+-9712.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/b/zzb67d00/2024298010_8018.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/b/zzb70f00/0011989252.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/b/zzb77c00/2084396137_6138.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/b/zzb82c00/2078772581.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/b/zzb82e00/2040183521.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/b/zzb83f00/0001142383.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/b/zzb85f00/0060116558.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/b/zzb90c00/2501855195_5202.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/b/zzb91e00/01409855.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/b/zzb94a00/2063195729.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/b/zzb96d00/tcal0414257.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/c/zzc00d00/50313867-3869.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/c/zzc05c00/2064296407_6455.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/c/zzc08d00/2072341081d_1082.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/c/zzc09e00/2041408964.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/c/zzc10f00/0000544864.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/c/zzc12c00/2085112782b_2783.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/c/zzc19c00/2505280805_0807.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/c/zzc25a00/528339733+-9733.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/c/zzc26c00/2083183167c_3168.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/c/zzc27e00/2028706323.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/c/zzc39c00/2084511715_1716.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/c/zzc42e00/2500122743.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/c/zzc44e00/2000457615_2000457620.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/c/zzc46d00/50684262-4263.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/c/zzc50c00/ti17180287.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/c/zzc52d00/2023567144.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/c/zzc52f00/tob14300.78_tob14300.80.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/c/zzc53a00/2065088945.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/c/zzc53e00/2061991348.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/c/zzc58d00/2062521131_1132.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/c/zzc63a00/518623059+-3062.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/c/zzc64e00/1001894221.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/c/zzc70e00/85872405_85872407.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/c/zzc74e00/1003185521.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/c/zzc75f00/0060202280.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/c/zzc83c00/2041158002.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/c/zzc85d00/503782317.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/c/zzc85f00/0060117201.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/c/zzc90f00/0011898456.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/x/zzx14d00/507710669_507710670.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/x/zzx21d00/515944308+-4308.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/x/zzx23d00/512841566_512841567.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/x/zzx25f00/0060206275.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/x/zzx32d00/2069531424.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/x/zzx33e00/2044073803.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
